Raman Shift,0uM_0uM_0uM_1,0uM_0uM_10uM_1,0uM_0uM_15uM_1,0uM_0uM_20uM_1,0uM_0uM_5uM_1,0uM_10uM_0uM_1,0uM_10uM_10uM_1,0uM_10uM_15uM_1,0uM_10uM_20uM_1,0uM_15uM_0uM_1,0uM_15uM_10uM_1,0uM_15uM_15uM_1,0uM_15uM_20uM_1,0uM_20uM_0uM_1,0uM_20uM_10uM_1,0uM_20uM_15uM_1,0uM_20uM_20uM_1,0uM_5uM_0uM_1,10uM_0uM_0uM_1,10uM_0uM_10uM_1,10uM_0uM_15uM_1,10uM_0uM_20uM_1,10uM_10uM_0uM_1,10uM_10uM_10uM_1,10uM_10uM_15uM_1,10uM_10uM_20uM_1,10uM_15uM_0uM_1,10uM_15uM_10uM_1,10uM_15uM_15uM_1,10uM_15uM_20uM_1,10uM_20uM_0uM_1,10uM_20uM_10uM_1,10uM_20uM_15uM_1,10uM_20uM_20uM_1,15uM_0uM_0uM_1,15uM_0uM_10uM_1,15uM_0uM_15uM_1,15uM_0uM_20uM_1,15uM_10uM_0uM_1,15uM_10uM_10uM_1,15uM_10uM_15uM_1,15uM_10uM_20uM_1,15uM_15uM_0uM_1,15uM_15uM_10uM_1,15uM_15uM_15uM_1,15uM_15uM_20uM_1,15uM_20uM_0uM_1,15uM_20uM_10uM_1,15uM_20uM_15uM_1,15uM_20uM_20uM_1,20uM_0uM_0uM_1,20uM_0uM_10uM_1,20uM_0uM_15uM_1,20uM_0uM_20uM_1,20uM_10uM_0uM_1,20uM_10uM_10uM_1,20uM_10uM_15uM_1,20uM_10uM_20uM_1,20uM_15uM_0uM_1,20uM_15uM_10uM_1,20uM_15uM_15uM_1,20uM_15uM_20uM_1,20uM_20uM_0uM_1,20uM_20uM_10uM_1,20uM_20uM_15uM_1,20uM_20uM_20uM_1,5uM_0uM_0uM_1
623.484,70.65585919825078,96.81371337868487,83.96848526984132,63.83846493040297,163.47023857142867,103.81080023129257,106.9163068965518,90.40929420890946,171.0404467261906,132.61720312500012,114.70690662907275,149.07290904761916,131.03106571428583,143.04154632034638,128.94855428571435,146.00566373015883,185.16901367781165,75.65713588416996,99.41072735164842,138.67596026455038,144.76140166666676,181.4315471988797,82.18912875083063,115.07617921428577,98.48708073015881,150.83421690476197,179.78307969924822,136.47740882352954,87.45600251298707,140.75331753246763,165.74725813953503,134.41700238095248,124.2813773109245,135.50788426501046,105.53546619047628,149.76231257142868,96.78952239795925,271.2562643437865,124.61194966666675,132.3035805343916,129.47914828282836,142.85639063945592,202.22352612942635,126.59519707830694,144.88258906298014,152.140573873874,171.44948353741515,178.573052869353,107.59484472329481,154.69376250253302,82.13428007215016,183.50357661740566,164.20286904761917,173.50680304232813,180.78568983269,111.55735235653249,134.56993875283456,116.76462544217691,130.13892503052512,111.92179980952389,98.155387495935,117.95654052767064,209.6641076923079,123.02423205574925,103.89322935839604,89.95605829931976,127.54461100529112
626.086,83.87208802332368,115.62477283446721,81.19611841269848,73.09967345421252,196.49159603174618,135.66475507483,119.95313415435145,113.97002479262686,195.1777598214287,167.74028422619062,129.7824969924813,174.99410063492076,157.66004603174616,149.9132849927851,145.11827428571434,173.12802828042337,224.0838492401217,102.18195737451745,123.32953626739936,158.27946330687845,187.4871475264551,224.241724089636,116.07362365780739,128.38990357142868,97.4831123333334,171.74290464285724,218.26647218045122,171.74435448179284,98.75688639826848,162.8616454545456,198.85841672203784,156.5219955782314,146.44092549019618,161.28305445134586,155.70450749559097,189.2326673333335,124.15976023809536,323.49014634146374,167.6112303030304,149.88786507936518,157.6915588167389,175.7093677006804,251.56097387057403,145.9073141947091,176.3303947772659,183.58400836550848,219.45393088435387,206.32527496947506,124.85304805662815,175.2804565754814,117.55431238095245,217.56085435139588,200.9126842261906,220.8251423280425,230.73795727155743,129.28721645909656,167.1611726643992,135.04492653061237,156.47637203907217,131.00174500000008,109.53838264808374,148.46817585585595,255.94952283272303,152.29544471544725,113.97262764411035,104.37109249433118,163.72964797178142
628.686,91.62362834207973,142.78785238095247,100.5903179138323,101.78149775824181,237.30414305555573,149.71899570068035,140.59872643678176,132.72132978494636,221.99201279761917,207.45381011904774,141.8682348370928,204.87463619047634,187.51348047619058,178.99844862914878,166.9448882142858,200.05586851851868,264.90540364741656,131.665196885457,162.5954054432235,183.67141018518532,235.98421690476218,272.7254042016809,140.11497705204883,160.9890479761906,114.56270911111122,200.35416571428584,253.6610090225566,199.49604649859953,117.3552108116884,186.42995183982694,237.88238682170567,179.640205612245,172.86535378151274,193.62533944099394,202.85357936507953,243.32785460317476,158.38350612244906,388.28390127758445,198.0639000000002,177.61743584656097,184.16846969696982,214.22856429931986,297.3774822954826,167.315630793651,206.6890634408603,213.26899111969124,269.5004726530614,250.00570561660587,155.20854638352648,204.88452087132742,137.87170800865812,256.14946666666685,241.95891190476203,273.06217962962984,283.0943133848135,149.931184859585,188.70204074829948,165.869831904762,186.3654781440783,145.12618345238104,130.52559016260173,180.17360025740035,300.0921667887671,192.33909221835088,128.57227293233095,124.91322230158737,190.6025458553793
631.284,95.63598443148696,167.96542811791394,128.67520267573704,126.02753547619054,283.5368194444447,172.48896775510218,165.40312577996727,163.55594316436265,256.221967559524,241.61550580357158,170.11685200501262,238.3152600000002,202.63589714285726,206.27900230880246,193.68961595238108,235.57286507936522,295.4727401215808,168.52819786357804,180.0148562087913,213.59674920634933,271.53150343915365,319.11772689075667,157.2971279069768,195.13274238095255,132.7021973492064,233.40162142857162,299.36456766917325,213.70678627450997,139.3155101082252,210.84963961038974,284.0063126245849,211.43467176870766,198.87901834733904,225.76248312629414,245.1574104056439,284.48166031746047,185.93650952380963,448.0692520325207,234.14192402597416,192.43614735449748,215.01477647907657,237.46250816326548,346.00446520146545,203.94520656084674,243.63261351766533,244.62808854568874,311.9075023129254,307.29070525030545,185.23502926640944,237.19976909827776,167.16431645021655,287.79702298850594,285.2909489583335,317.46607804232815,330.83362265122287,166.55857997558013,202.96601984126997,195.47345453514754,220.8530897435899,155.48883940476202,150.60697930313603,210.78528133848144,351.57391575091594,227.1893017421604,153.26482669172944,146.3034990022677,218.0124841269843
633.881,113.80751300291551,186.13036235827676,149.5030848979593,139.14044161172166,309.3598710317462,186.86660462585047,191.44324466338273,183.3985251920124,271.81739002976207,269.92810059523816,188.599170300752,258.17353809523826,214.95404857142873,238.4422997113998,222.11342214285727,265.6461455026457,324.77956636271546,202.4506673359074,182.96001952380962,225.83184312169328,288.2871828042329,349.9881162464988,186.3280753045405,216.21439154761916,154.70777546031755,272.2209492857145,327.1669010025065,221.11955462184886,153.46829940476204,221.46304805194805,317.12012225913645,234.99159880952388,225.3382571428573,258.0875767080747,269.56642998236345,303.8989380952383,204.90474115646268,509.9603995354241,258.9433480519482,203.86311865079375,231.58178773448782,252.91391265306135,385.54095970696005,230.50276201058207,266.764029185868,271.411455855856,358.877372789116,335.1456700854702,197.91775238095255,271.5215428571432,176.9021562770563,306.3771461412153,313.72692470238115,355.8943320105822,361.08507593307604,197.96990940170954,220.62994671201827,222.50339467120187,244.91746935286946,161.645056904762,159.62068954703838,229.6343562419564,377.3583577533579,246.3537024390245,182.30564699248131,164.90676859410445,226.90722857142876
636.476,120.4688384062197,179.83127414965998,147.79714365079374,143.6222876923078,313.5920119047621,192.24568721088448,199.19964285714295,191.87247050691252,280.1561511904764,271.9956925595239,194.31065526315805,275.3336952380954,224.25946761904774,251.814678787879,242.45444047619063,273.0348902116404,345.1930273556233,204.98210247104262,164.54638424908433,230.33668624338645,287.6564880952382,351.3817142857145,202.9166362126247,216.80337654761917,170.26319376190486,289.83319642857157,337.63309523809545,228.9195966386556,162.7705768398269,231.86764523809535,320.6416633444077,253.30335374149672,225.98144901960794,273.4043888198759,273.4611167548502,312.8573587301589,205.3024357142858,546.8781556329853,275.4295562770564,207.70150978835989,235.71131399711405,253.1763714285715,402.12836141636154,240.8493200000001,267.64139938556076,292.71638867438884,373.19167619047636,333.55519902319924,200.64971158301168,292.95536676798395,167.54922871572882,310.20330541871937,317.5205997023811,366.09433465608475,369.33784684684707,210.69061550671563,224.86476904761918,230.2736841269842,245.4498463980465,171.2060280952382,164.40469430894316,233.26665894465899,381.261042735043,243.95875261324053,197.40231040100264,177.419816553288,232.06489770723115
639.068,137.30802189504382,162.64381224489802,137.19649043083905,137.23499968864476,287.9664285714287,195.73411510204096,203.14934367816102,196.7438569892474,282.9388824404764,258.6156592261906,194.22395651629085,276.5907650793652,220.14829682539693,249.80744300144315,238.4861407142858,268.4172010582012,348.9542451874368,179.0038400257401,158.70605758241769,234.9319944444445,269.302277777778,337.14875210084057,209.92212270210413,206.8485315476192,175.60451288888896,293.734217857143,335.6299060150379,233.38851092436985,159.55137781385295,245.05027467532489,307.5599756367664,248.95386054421786,217.49346610644267,271.33929772256744,248.92710070546758,295.39134349206364,198.50765986394566,556.6639547038332,278.2034084415585,209.85227619047632,231.33273217893228,253.7221322448981,398.1908888888891,238.5535741798943,266.0883440860216,288.2589794079796,363.2601414965988,329.750202686203,193.81077039897053,290.82840851063855,155.2906764790765,294.48673070607566,318.93596190476205,355.62526984127004,357.03440283140293,207.13496935286943,219.53608390022683,229.9291785714287,234.39870293040315,170.89936261904765,160.8362454123114,230.98446718146738,376.7125054945058,232.5034793263648,200.07164385964924,179.51545408163278,221.8594917107585
641.659,138.91772012633632,141.24762889795926,109.74822224489802,126.9656323443224,252.65440108730172,194.03677591836748,187.49332889983592,189.30079244239639,266.2823550595239,239.7650636904763,193.71869661654145,264.9474400000002,214.83208888888893,240.01043399134213,227.53062928571444,254.84919735449745,344.6900222897672,156.93490900900912,152.2975526373627,215.902587830688,245.37654920634935,303.81545882352964,200.25891643410858,192.33778690476203,164.1119117460318,279.8885123809526,302.4285834586467,231.6480463305323,155.89388268398278,237.83723279220794,280.1339335548175,236.1969612244899,204.43850532212892,260.5330841614909,211.11330458553803,260.370002857143,185.5036073129253,529.1587433217192,265.24841233766244,199.42097063492074,210.07518860028873,237.99046272108856,372.63707936507956,223.47921449735458,265.38899139784957,277.13204298584304,351.4051858503403,312.6206625152627,184.68149613899618,267.1502768996962,151.50051082251093,272.85721773399024,286.3838828869049,327.74577142857163,325.3724252252253,193.7364434676436,208.54677312925187,206.55431825396838,221.21767912087918,171.19887768095242,158.6065343786296,226.14387490347502,351.4786752136753,213.49011091753786,185.36286152882215,167.86740997732431,204.33847954144625
644.249,116.1294577551021,129.05462406802724,91.47881741496603,121.59028932234439,208.17818832936518,176.08962761904772,172.58327422003288,156.10151187404,242.79571681547628,218.17666985119067,182.0802889974938,239.24904238095255,198.02704952380964,217.21248212987024,206.11450523809532,223.72131560846572,313.08547517730517,130.86080424710434,142.62966095238104,188.84389907407416,212.51240523809534,264.04645490196094,172.21001355481738,177.65402833333343,151.66863552380966,244.16151333333346,258.68098533834603,209.60402455182086,147.8226627922079,214.83605595238106,241.61441074197128,214.02761578231303,175.3314841736695,228.62611625258805,179.1876606701941,226.34946634920647,166.5317205782314,480.2853495934961,233.74696232900433,185.87019537037045,193.43622828282835,222.97692258503415,329.25187277167305,199.3447571851853,231.72886758832573,244.1269853281854,305.1093496598641,276.66795665445676,173.93979665379675,236.69940597771026,124.93055569985579,245.38094252873577,248.2944138392858,284.60173280423294,279.35239021879045,174.42769145299155,184.46844331065768,178.08026303854882,190.74966910866917,152.3342056333334,147.22190394889674,206.36582499871312,312.71706813186825,187.96767433217198,159.28861478696746,150.99950043083908,155.62848395061735
646.836,85.46266550048591,115.25868199092974,66.98376517006807,110.44544937728948,166.13117290873018,166.8339166258504,144.02032004269302,137.39993225806458,216.80063928571437,184.67670989583343,169.0902779699249,204.90565730158738,181.53317784126997,189.87310524098126,171.46286844047634,195.70426555555568,270.0362724214794,109.69830447361653,122.21616128205135,162.31407867724874,176.48038316137573,222.0649055182074,142.31624438538216,156.04539450000016,129.71015849206358,204.49104523809532,224.08004586466183,176.1717526050421,131.02549333333337,183.93970075757585,213.11792717607983,192.48148227891167,146.24593490196082,199.1560788819877,164.83470585537927,191.6396461587303,140.85884758503408,405.4703256678283,190.62474821645026,165.8487715820107,173.49181847041854,193.15837153741504,275.92476727716735,167.4410846560848,200.30546282642092,205.76593307593316,245.99367768707504,242.8400123321124,164.79374841698854,201.68961428571438,123.52432577200581,209.71344627257807,196.48281763095247,228.66542817460328,226.60374501930514,142.21938859584867,153.1377403519275,152.06830435374152,160.8875266178267,124.8074065642858,130.1188096631824,176.42556983783788,274.7351437606839,163.97107409988388,134.3525999649124,115.16330378684812,120.4660392945327
649.421,58.80889650728867,92.85174030839006,61.59760907029482,102.10914060439565,128.18587141269845,131.50042696598646,129.67798389326774,113.81536158218128,176.26728943452392,146.01086014880957,139.88696689223062,157.15567488888894,161.31373300000007,154.32325022222227,150.1125537321429,158.19457374338631,215.6200670780142,102.872294554955,108.2060358608059,121.0959711375662,132.29407812169316,177.653853417367,123.76722260908095,133.35508597619054,109.57808944444449,174.25036407142866,178.34732210526323,131.5577401540617,102.49518705627712,148.34173093073602,175.94571300110744,157.6500626530613,125.02688602240902,169.27530424430648,157.05440350970028,152.2532684285715,117.31109746598648,332.36047944250885,141.1740826450217,137.15089830423284,143.86750519480526,156.06999272108848,215.9894336800978,132.42175819259268,159.8812734807988,166.61840120978133,197.49530846258517,192.09307833748483,135.37394606177614,170.46107681864248,96.18900886002889,165.69046600985232,145.86826617261912,183.2831932804234,176.6270423552124,106.53469549450557,128.55774142448988,122.71102679138329,135.70945849328453,101.43343031904767,111.47924049941935,134.904975969112,219.3625612576314,141.9437903066203,114.02070978947373,95.35057964852612,93.38470518518525
